benchmark,n,sample,time
tensor,1,0,1824659.000000
tensor,1,1,1826133.000000
tensor,1,2,1829775.000000
tensor,1,3,1877641.000000
tensor,1,4,1931590.000000
tensor,1,5,1935492.000000
tensor,1,6,2054678.000000
tensor,1,7,2184387.000000
tensor,1,8,2194296.000000
tensor,1,9,2289047.000000
tensor,2,0,4467913.000000
tensor,2,1,4556576.000000
tensor,2,2,4561606.000000
tensor,2,3,4579808.000000
tensor,2,4,4580734.000000
tensor,2,5,4588270.000000
tensor,2,6,4620720.000000
tensor,2,7,4629878.000000
tensor,2,8,4634942.000000
tensor,2,9,4648273.000000
tensor,3,0,11694214.000000
tensor,3,1,11772155.000000
tensor,3,2,11784028.000000
tensor,3,3,11833286.000000
tensor,3,4,11868583.000000
tensor,3,5,14073820.000000
tensor,3,6,14135323.000000
tensor,3,7,14335462.000000
tensor,3,8,15440021.000000
tensor,3,9,15672465.000000
tensor,4,0,44462576.000000
tensor,4,1,44520381.000000
tensor,4,2,44543112.000000
tensor,4,3,44656249.000000
tensor,4,4,44779025.000000
tensor,4,5,45365488.000000
tensor,4,6,46348472.000000
tensor,4,7,46478372.000000
tensor,4,8,47603724.000000
tensor,4,9,54286365.000000
tensor,5,0,187902002.000000
tensor,5,1,188044791.000000
tensor,5,2,190951527.000000
tensor,5,3,191607126.000000
tensor,5,4,191872470.000000
tensor,5,5,193185321.000000
tensor,5,6,193358900.000000
tensor,5,7,193991967.000000
tensor,5,8,199651910.000000
tensor,5,9,202517018.000000
tensor,6,0,964028801.000000
tensor,6,1,964129816.000000
tensor,6,2,969358193.000000
tensor,6,3,969677249.000000
tensor,6,4,970500560.000000
tensor,6,5,972635544.000000
tensor,6,6,972809443.000000
tensor,6,7,974693772.000000
tensor,6,8,976672362.000000
tensor,6,9,977103315.000000
tensor,7,0,5839383515.000000
tensor,7,1,5858857895.000000
tensor,7,2,5881857586.000000
tensor,7,3,5889495903.000000
tensor,7,4,5896385405.000000
tensor,7,5,5922139550.000000
tensor,7,6,5963202347.000000
tensor,7,7,5979081090.000000
tensor,7,8,5994481846.000000
tensor,7,9,6020409738.000000
tensor,8,0,37826725101.000000
tensor,8,1,37861076147.000000
tensor,8,2,37946543611.000000
tensor,8,3,38101668827.000000
tensor,8,4,38127267349.000000
tensor,8,5,38145474618.000000
tensor,8,6,38193113546.000000
tensor,8,7,38239223060.000000
tensor,8,8,38277694762.000000
tensor,8,9,38627745061.000000
compose_small,1,0,580678.000000
compose_small,1,1,593599.000000
compose_small,1,2,633220.000000
compose_small,1,3,653776.000000
compose_small,1,4,656889.000000
compose_small,1,5,657335.000000
compose_small,1,6,657662.000000
compose_small,1,7,671861.000000
compose_small,1,8,671934.000000
compose_small,1,9,815145.000000
compose_small,2,0,789266.000000
compose_small,2,1,842326.000000
compose_small,2,2,858612.000000
compose_small,2,3,862569.000000
compose_small,2,4,871432.000000
compose_small,2,5,871657.000000
compose_small,2,6,871783.000000
compose_small,2,7,871937.000000
compose_small,2,8,874449.000000
compose_small,2,9,984566.000000
compose_small,3,0,1179266.000000
compose_small,3,1,1260612.000000
compose_small,3,2,1263177.000000
compose_small,3,3,1269209.000000
compose_small,3,4,1276919.000000
compose_small,3,5,1277039.000000
compose_small,3,6,1283411.000000
compose_small,3,7,1299424.000000
compose_small,3,8,1309750.000000
compose_small,3,9,1368346.000000
compose_small,4,0,2068647.000000
compose_small,4,1,2077680.000000
compose_small,4,2,2080286.000000
compose_small,4,3,2091570.000000
compose_small,4,4,2096339.000000
compose_small,4,5,2098647.000000
compose_small,4,6,2120834.000000
compose_small,4,7,2122093.000000
compose_small,4,8,2129471.000000
compose_small,4,9,2145120.000000
compose_small,5,0,3700209.000000
compose_small,5,1,3776296.000000
compose_small,5,2,3776451.000000
compose_small,5,3,3785681.000000
compose_small,5,4,3787565.000000
compose_small,5,5,3820688.000000
compose_small,5,6,3823424.000000
compose_small,5,7,3863542.000000
compose_small,5,8,3865428.000000
compose_small,5,9,3866488.000000
compose_small,6,0,7047121.000000
compose_small,6,1,7230711.000000
compose_small,6,2,7282793.000000
compose_small,6,3,7312056.000000
compose_small,6,4,7318683.000000
compose_small,6,5,7322965.000000
compose_small,6,6,7338826.000000
compose_small,6,7,7362783.000000
compose_small,6,8,7446827.000000
compose_small,6,9,9960826.000000
compose_small,7,0,12632014.000000
compose_small,7,1,12746711.000000
compose_small,7,2,12922097.000000
compose_small,7,3,12964901.000000
compose_small,7,4,14267231.000000
compose_small,7,5,14586118.000000
compose_small,7,6,14729553.000000
compose_small,7,7,14767706.000000
compose_small,7,8,16997947.000000
compose_small,7,9,17773249.000000
compose_small,8,0,26835842.000000
compose_small,8,1,26967832.000000
compose_small,8,2,27007282.000000
compose_small,8,3,28814738.000000
compose_small,8,4,29662574.000000
compose_small,8,5,30017388.000000
compose_small,8,6,30445609.000000
compose_small,8,7,30747662.000000
compose_small,8,8,32130107.000000
compose_small,8,9,32237882.000000
compose_small,9,0,60464837.000000
compose_small,9,1,62884258.000000
compose_small,9,2,63293254.000000
compose_small,9,3,63444104.000000
compose_small,9,4,63545047.000000
compose_small,9,5,64152225.000000
compose_small,9,6,65512549.000000
compose_small,9,7,65763426.000000
compose_small,9,8,65784610.000000
compose_small,9,9,67323050.000000
compose_small,10,0,152688503.000000
compose_small,10,1,153674571.000000
compose_small,10,2,154464368.000000
compose_small,10,3,155637769.000000
compose_small,10,4,155940754.000000
compose_small,10,5,156096076.000000
compose_small,10,6,156214918.000000
compose_small,10,7,156383838.000000
compose_small,10,8,161645500.000000
compose_small,10,9,162843385.000000
compose_small,11,0,420872834.000000
compose_small,11,1,422134056.000000
compose_small,11,2,422637602.000000
compose_small,11,3,425543729.000000
compose_small,11,4,425757829.000000
compose_small,11,5,427096396.000000
compose_small,11,6,427967625.000000
compose_small,11,7,430042502.000000
compose_small,11,8,430383481.000000
compose_small,11,9,435973951.000000
